epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.18015,1.85567,5.13904,0.87179,0.0021,0.2851,0.0216,0.0038,2.24415,5.12172,0.87375,0.00052,0.00052,0.00052
2,6.97607,1.51812,2.76677,0.87632,0.00419,0.57019,0.00579,0.00302,1.64246,4.48935,0.83383,0.00103901,0.00103901,0.00103901
3,9.74764,1.61227,2.31413,0.85702,1,0.07616,0.65429,0.34496,1.69614,3.69688,0.85662,0.00153664,0.00153664,0.00153664
4,12.5456,1.56944,2.12977,0.87491,1,0.35929,0.64011,0.37277,1.51019,2.89446,0.83766,0.0018812,0.0018812,0.0018812
5,15.3188,1.42857,2.13292,0.85585,0.97161,0.88337,0.92503,0.57942,1.26488,1.49668,0.82183,0.0018416,0.0018416,0.0018416
6,18.0998,1.32667,1.73919,0.85695,0.92605,0.84449,0.89818,0.55483,1.3708,1.22409,0.83102,0.001802,0.001802,0.001802
7,20.9062,1.38492,1.66752,0.85664,0.97707,0.89417,0.92603,0.58685,1.27475,0.91972,0.8192,0.0017624,0.0017624,0.0017624
8,23.7944,1.51335,1.55983,0.84379,0.98145,0.914,0.9544,0.49832,1.46316,0.9516,0.83329,0.0017228,0.0017228,0.0017228
9,26.5956,1.31538,1.37675,0.847,0.98136,0.90947,0.96004,0.58167,1.23296,0.80343,0.82004,0.0016832,0.0016832,0.0016832
10,29.3613,1.25001,1.26087,0.82855,0.9883,0.91255,0.96862,0.58032,1.29525,0.75185,0.81782,0.0016436,0.0016436,0.0016436
11,32.1243,1.33649,1.2489,0.84848,0.99034,0.92657,0.95411,0.612,1.22001,0.7378,0.81565,0.001604,0.001604,0.001604
12,34.9099,1.32656,1.17481,0.85047,0.97723,0.927,0.96069,0.53225,1.33162,0.80786,0.81956,0.0015644,0.0015644,0.0015644
13,37.704,1.23811,1.11755,0.83563,0.97095,0.93862,0.96227,0.61066,1.16674,0.7417,0.80935,0.0015248,0.0015248,0.0015248
14,40.4697,1.15022,0.98734,0.83855,0.98194,0.93942,0.96982,0.64331,1.07315,0.71452,0.80645,0.0014852,0.0014852,0.0014852
15,43.2553,1.158,0.9723,0.83013,0.99546,0.9467,0.97363,0.63809,1.13329,0.69962,0.80652,0.0014456,0.0014456,0.0014456
16,46.0377,1.26079,0.94719,0.83472,0.99157,0.92657,0.96351,0.65392,1.05905,0.68643,0.80146,0.001406,0.001406,0.001406
17,48.9699,1.08262,0.85986,0.8183,0.96778,0.93305,0.96942,0.56066,1.26219,0.71809,0.80604,0.0013664,0.0013664,0.0013664
18,51.7483,1.03983,0.77836,0.81624,0.97741,0.93952,0.96248,0.66156,1.02624,0.66433,0.80131,0.0013268,0.0013268,0.0013268
19,54.5744,1.14254,0.85152,0.81567,0.97048,0.923,0.95984,0.6016,1.20364,0.71033,0.80931,0.0012872,0.0012872,0.0012872
20,57.3256,1.05887,0.79288,0.83306,0.98111,0.92657,0.96116,0.60702,1.17615,0.59626,0.81501,0.0012476,0.0012476,0.0012476
21,60.0758,1.14398,0.79076,0.81442,0.9747,0.93521,0.96218,0.64414,1.08679,0.50992,0.80607,0.001208,0.001208,0.001208
22,62.8692,1.06822,0.71441,0.81372,0.97739,0.93368,0.96223,0.60615,1.11451,0.47381,0.80194,0.0011684,0.0011684,0.0011684
23,65.6321,1.07406,0.68689,0.81101,0.98229,0.93737,0.97197,0.68002,0.99591,0.42519,0.80421,0.0011288,0.0011288,0.0011288
24,68.4025,1.03282,0.72761,0.80391,0.98417,0.94019,0.97296,0.64236,1.03989,0.44229,0.80028,0.0010892,0.0010892,0.0010892
25,71.1967,1.04479,0.65313,0.82609,0.97902,0.94384,0.96415,0.68408,0.95605,0.41793,0.79944,0.0010496,0.0010496,0.0010496
26,73.9696,1.08504,0.69433,0.81461,0.98523,0.93737,0.96395,0.69366,0.95146,0.40906,0.80031,0.00101,0.00101,0.00101
27,76.7306,1.02346,0.64421,0.80919,0.98993,0.93305,0.96975,0.68646,0.92554,0.40358,0.79806,0.0009704,0.0009704,0.0009704
28,79.5226,0.99975,0.63748,0.81198,0.98408,0.93431,0.97006,0.68607,0.96557,0.42079,0.80104,0.0009308,0.0009308,0.0009308
29,82.3085,0.979,0.61941,0.82175,0.97286,0.93305,0.96891,0.68658,0.95311,0.40805,0.79862,0.0008912,0.0008912,0.0008912
30,85.0719,1.02319,0.64304,0.81438,0.98851,0.92942,0.97118,0.67273,0.95808,0.42292,0.79788,0.0008516,0.0008516,0.0008516
31,87.8771,1.0396,0.61122,0.81922,0.96178,0.92395,0.9609,0.65897,1.00619,0.4212,0.79731,0.000812,0.000812,0.000812
32,90.738,0.97588,0.58474,0.81667,0.98632,0.93441,0.97051,0.69967,0.89836,0.39532,0.79572,0.0007724,0.0007724,0.0007724
33,93.5163,0.98298,0.60471,0.81258,0.9871,0.93952,0.97005,0.70815,0.90855,0.37994,0.79513,0.0007328,0.0007328,0.0007328
34,96.2989,0.96714,0.569,0.81577,0.99254,0.94168,0.97252,0.69967,0.91398,0.37989,0.79576,0.0006932,0.0006932,0.0006932
35,99.0826,0.89621,0.54748,0.80673,0.99089,0.9393,0.9727,0.69916,0.93208,0.37668,0.79614,0.0006536,0.0006536,0.0006536
36,101.851,0.94625,0.53413,0.80755,0.99186,0.93737,0.97439,0.69764,0.93251,0.37011,0.79516,0.000614,0.000614,0.000614
37,104.611,0.94134,0.55464,0.80584,0.98547,0.93737,0.97437,0.72239,0.88464,0.36916,0.79105,0.0005744,0.0005744,0.0005744
38,107.367,0.91716,0.51711,0.8171,0.99086,0.93625,0.97628,0.69861,0.94201,0.3831,0.79253,0.0005348,0.0005348,0.0005348
39,110.238,0.90706,0.50654,0.80936,0.99542,0.93921,0.9792,0.71716,0.92598,0.38422,0.79576,0.0004952,0.0004952,0.0004952
40,113.107,0.959,0.54539,0.80982,0.99473,0.93737,0.97875,0.74283,0.87423,0.36699,0.79355,0.0004556,0.0004556,0.0004556
41,135.378,0.88995,0.60153,0.7915,0.99306,0.927,0.97581,0.68948,0.97385,0.38806,0.79437,0.000416,0.000416,0.000416
42,138.733,0.89298,0.56548,0.80947,0.99018,0.93521,0.97856,0.73811,0.86028,0.36069,0.79224,0.0003764,0.0003764,0.0003764
43,141.825,0.8924,0.59159,0.7968,0.98752,0.93737,0.97733,0.7277,0.88091,0.36567,0.79295,0.0003368,0.0003368,0.0003368
44,145.253,0.92637,0.56459,0.80557,0.9861,0.93737,0.97717,0.71817,0.90596,0.37186,0.79225,0.0002972,0.0002972,0.0002972
45,148.476,0.86129,0.54311,0.80744,0.98643,0.94194,0.97727,0.73357,0.85439,0.36218,0.79082,0.0002576,0.0002576,0.0002576
46,151.673,0.85612,0.52236,0.79428,0.98894,0.93521,0.97578,0.72739,0.88188,0.36384,0.79259,0.000218,0.000218,0.000218
47,154.907,0.84589,0.50613,0.79058,0.98411,0.93619,0.97431,0.73243,0.88425,0.35921,0.79481,0.0001784,0.0001784,0.0001784
48,157.877,0.83619,0.5228,0.79593,0.98632,0.93424,0.97493,0.74261,0.86219,0.35553,0.79326,0.0001388,0.0001388,0.0001388
49,160.847,0.83733,0.52824,0.79025,0.98936,0.93305,0.97687,0.75172,0.84914,0.35543,0.79239,9.92e-05,9.92e-05,9.92e-05
50,163.801,0.80524,0.49794,0.80277,0.99312,0.93501,0.97753,0.74183,0.8575,0.35602,0.79249,5.96e-05,5.96e-05,5.96e-05
